,_id,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating
75,10332161,10.0,10.0,9.0,9.0,6.0,9.0,90.0
76,10612199,10.0,10.0,10.0,10.0,10.0,10.0,100.0
77,10471178,,,,,,,
78,10519173,10.0,10.0,10.0,10.0,10.0,9.0,95.0
79,10677883,10.0,8.0,10.0,10.0,6.0,8.0,60.0
80,10373872,,,,,,,
81,10548991,10.0,10.0,10.0,10.0,10.0,10.0,98.0
82,10596036,,,,,,,
83,1067052,10.0,9.0,10.0,10.0,10.0,10.0,96.0
84,10431455,,,,,,,
85,10459480,,,,,,,
86,10486984,9.0,9.0,10.0,10.0,9.0,9.0,94.0
87,10648267,10.0,10.0,10.0,10.0,10.0,10.0,100.0
88,10675315,,,,,,,
89,10354347,,,,,,,
90,10383490,10.0,10.0,10.0,10.0,10.0,10.0,100.0
91,10628126,10.0,10.0,10.0,10.0,10.0,9.0,92.0
92,10639317,,,,,,,
93,10552362,10.0,10.0,10.0,10.0,10.0,10.0,100.0
94,1036027,9.0,9.0,10.0,10.0,9.0,9.0,88.0
95,10343118,10.0,10.0,10.0,10.0,10.0,9.0,94.0
96,10324377,,,,,,,
97,1042446,10.0,9.0,10.0,10.0,10.0,9.0,94.0
98,10624493,,,,,,,
99,10415637,10.0,10.0,10.0,10.0,10.0,10.0,98.0
100,10527212,8.0,7.0,8.0,7.0,8.0,8.0,71.0
101,10573225,10.0,10.0,10.0,10.0,10.0,10.0,98.0
102,1068505,10.0,10.0,10.0,10.0,10.0,9.0,96.0
103,10381879,10.0,10.0,10.0,10.0,10.0,10.0,98.0
104,1063491,10.0,9.0,10.0,10.0,10.0,9.0,95.0
105,10458796,9.0,9.0,10.0,10.0,10.0,9.0,94.0
106,10449328,,,,,,,
107,10416859,10.0,9.0,10.0,10.0,10.0,10.0,96.0
108,10392282,10.0,9.0,10.0,10.0,10.0,9.0,96.0
109,10581101,10.0,9.0,9.0,9.0,9.0,9.0,90.0
110,10635276,10.0,10.0,10.0,10.0,10.0,10.0,100.0
111,10659534,9.0,10.0,9.0,10.0,10.0,9.0,95.0
112,1066648,,,,,,,
113,1047087,10.0,10.0,10.0,10.0,9.0,10.0,97.0
114,10527243,10.0,10.0,10.0,10.0,10.0,10.0,96.0
115,10545815,10.0,10.0,10.0,10.0,9.0,9.0,96.0
116,10560325,9.0,9.0,10.0,9.0,9.0,9.0,89.0
117,10411341,10.0,9.0,9.0,10.0,10.0,9.0,95.0
118,10558807,8.0,7.0,8.0,8.0,8.0,8.0,71.0
119,1058555,10.0,10.0,10.0,10.0,10.0,9.0,96.0
120,10671783,,,,,,,
121,1074008,9.0,9.0,10.0,10.0,10.0,9.0,97.0
122,10802909,8.0,8.0,9.0,9.0,10.0,8.0,78.0
123,10742116,9.0,9.0,9.0,9.0,10.0,8.0,83.0
124,1073607,10.0,10.0,10.0,10.0,10.0,10.0,96.0
125,1079887,10.0,9.0,10.0,10.0,9.0,9.0,93.0
126,10751153,10.0,10.0,10.0,10.0,10.0,9.0,94.0
127,10752737,,,,,,,
128,10706900,10.0,9.0,10.0,10.0,10.0,9.0,95.0
129,1070322,9.0,9.0,9.0,9.0,9.0,8.0,82.0
130,1077686,,,,,,,
131,10782351,10.0,10.0,10.0,10.0,10.0,10.0,80.0
132,10716793,,,,,,,
133,10908640,10.0,9.0,9.0,10.0,10.0,9.0,100.0
134,10887852,10.0,10.0,10.0,10.0,10.0,10.0,95.0
135,10828339,,,,,,,
136,10840938,9.0,9.0,9.0,10.0,10.0,9.0,87.0
137,10839973,,,,,,,
138,10816768,10.0,10.0,10.0,10.0,10.0,10.0,99.0
139,10812136,,,,,,,
140,10893326,10.0,10.0,10.0,10.0,10.0,10.0,98.0
141,10857454,10.0,10.0,10.0,10.0,10.0,10.0,98.0
142,10855800,,,,,,,
143,10852990,,,,,,,
144,10819035,,,,,,,
145,10862541,,,,,,,
146,1090153,9.0,7.0,10.0,10.0,9.0,8.0,93.0
147,1089542,10.0,9.0,10.0,10.0,9.0,10.0,93.0
148,10839801,10.0,10.0,10.0,10.0,10.0,10.0,97.0
149,10850008,10.0,9.0,10.0,10.0,10.0,9.0,99.0
150,10911771,7.0,8.0,8.0,9.0,9.0,8.0,76.0
151,1092760,10.0,10.0,10.0,10.0,10.0,10.0,96.0
152,10948197,9.0,9.0,10.0,10.0,9.0,9.0,93.0
153,10932304,9.0,9.0,9.0,9.0,10.0,9.0,87.0
154,10977704,10.0,10.0,10.0,10.0,10.0,9.0,96.0
155,1095174,10.0,10.0,10.0,10.0,9.0,10.0,97.0
156,10992286,10.0,10.0,10.0,10.0,10.0,10.0,98.0
157,1104768,9.0,7.0,9.0,9.0,10.0,8.0,82.0
158,11007058,6.0,8.0,8.0,6.0,10.0,8.0,80.0
159,10990260,9.0,10.0,10.0,10.0,10.0,9.0,91.0
160,1101035,10.0,10.0,10.0,10.0,10.0,9.0,98.0
161,11055163,9.0,9.0,10.0,9.0,10.0,9.0,88.0
162,11095139,9.0,9.0,10.0,10.0,10.0,9.0,89.0
163,11097962,9.0,10.0,10.0,10.0,9.0,9.0,90.0
164,1098211,9.0,10.0,10.0,10.0,9.0,8.0,84.0
165,11093339,10.0,10.0,10.0,10.0,10.0,10.0,94.0
166,11007542,10.0,10.0,10.0,10.0,10.0,10.0,100.0
167,10985735,10.0,9.0,10.0,10.0,9.0,9.0,94.0
168,11006512,,,,,,,
169,11012484,,,,,,,
170,10992671,10.0,9.0,10.0,10.0,10.0,10.0,98.0
171,11005300,10.0,10.0,10.0,10.0,10.0,10.0,100.0
172,11080033,10.0,8.0,10.0,10.0,10.0,8.0,80.0
173,11131495,10.0,10.0,10.0,10.0,10.0,10.0,94.0
174,11108923,10.0,10.0,10.0,10.0,9.0,9.0,95.0
175,11157167,10.0,9.0,10.0,10.0,10.0,10.0,97.0
176,1112838,10.0,10.0,10.0,10.0,10.0,10.0,95.0
177,11153910,8.0,6.0,8.0,8.0,8.0,6.0,80.0
178,11197217,9.0,10.0,10.0,10.0,9.0,8.0,100.0
179,11319047,,,,,,,
180,11378656,,,,,,,
181,11480835,,,,,,,
182,11567815,10.0,10.0,10.0,10.0,10.0,10.0,98.0
183,11648810,4.0,4.0,10.0,8.0,8.0,8.0,70.0
184,11207193,10.0,10.0,10.0,10.0,10.0,9.0,97.0
185,11264406,10.0,10.0,10.0,10.0,10.0,10.0,100.0
186,1136399,,,,,,,
187,11379251,,,,,,,
188,1138483,10.0,10.0,10.0,10.0,10.0,10.0,98.0
189,11510109,10.0,10.0,10.0,10.0,10.0,10.0,100.0
190,11695637,,,,,,,
191,11335874,10.0,10.0,10.0,10.0,10.0,10.0,100.0
192,11406680,10.0,9.0,10.0,10.0,10.0,9.0,96.0
193,11459525,10.0,10.0,10.0,10.0,10.0,10.0,100.0
194,1146653,10.0,10.0,10.0,10.0,10.0,10.0,98.0
195,11488558,10.0,10.0,10.0,10.0,10.0,10.0,100.0
196,11533406,10.0,10.0,10.0,10.0,10.0,9.0,98.0
197,1153834,6.0,7.0,8.0,8.0,8.0,7.0,65.0
198,11145180,10.0,10.0,9.0,9.0,9.0,10.0,92.0
199,11194486,,,,,,,
200,1145567,8.0,8.0,9.0,10.0,9.0,9.0,88.0
201,11146498,10.0,10.0,10.0,10.0,10.0,10.0,100.0
202,11223389,10.0,9.0,10.0,10.0,10.0,9.0,92.0
203,1143151,10.0,9.0,10.0,10.0,10.0,9.0,94.0
204,1144090,10.0,10.0,10.0,10.0,10.0,9.0,92.0
205,11115528,9.0,9.0,9.0,10.0,10.0,9.0,90.0
206,11447743,10.0,10.0,10.0,10.0,10.0,10.0,98.0
207,11472884,,,,,,,
208,11409841,10.0,10.0,10.0,10.0,10.0,10.0,98.0
209,11567179,10.0,10.0,10.0,10.0,10.0,10.0,100.0
210,11679106,,,,,,,
211,11693193,10.0,10.0,10.0,10.0,10.0,10.0,97.0
212,11194788,,,,,,,
213,11396243,,,,,,,
214,11442936,10.0,10.0,10.0,10.0,10.0,10.0,100.0
215,11553357,10.0,9.0,10.0,10.0,9.0,10.0,94.0
216,11695887,10.0,9.0,10.0,10.0,10.0,9.0,94.0
217,11113983,,,,,,,
218,11136898,10.0,9.0,10.0,10.0,10.0,10.0,97.0
219,1111410,9.0,9.0,9.0,9.0,9.0,9.0,87.0
220,1129061,10.0,10.0,10.0,10.0,10.0,10.0,96.0
221,11553333,,,,,,,
222,11679012,10.0,9.0,10.0,9.0,10.0,10.0,100.0
223,11364106,10.0,10.0,10.0,10.0,10.0,10.0,100.0
224,1139810,10.0,10.0,10.0,10.0,10.0,9.0,95.0
225,11703559,10.0,10.0,10.0,10.0,10.0,10.0,94.0
226,11648362,,,,,,,
227,1169088,9.0,10.0,9.0,9.0,9.0,9.0,84.0
228,11242147,10.0,10.0,10.0,10.0,10.0,10.0,100.0
229,11191242,9.0,9.0,10.0,10.0,10.0,9.0,88.0
230,11193311,10.0,9.0,10.0,10.0,9.0,9.0,86.0
231,1127954,,,,,,,
232,1131054,10.0,10.0,10.0,10.0,10.0,10.0,99.0
233,11387183,,,,,,,
234,11656239,10.0,10.0,10.0,10.0,10.0,10.0,98.0
235,11690230,,,,,,,
236,11413023,10.0,9.0,10.0,10.0,10.0,10.0,95.0
237,11420459,,,,,,,
238,11464859,10.0,10.0,10.0,10.0,10.0,10.0,99.0
239,11566403,10.0,9.0,10.0,10.0,10.0,9.0,92.0
240,1132409,10.0,10.0,10.0,10.0,10.0,10.0,93.0
241,11144250,10.0,9.0,10.0,10.0,10.0,9.0,94.0
242,1117706,10.0,10.0,9.0,9.0,10.0,10.0,97.0
243,11444539,9.0,9.0,10.0,10.0,10.0,9.0,95.0
244,11552866,,,,,,,
245,1155475,10.0,10.0,10.0,10.0,10.0,9.0,97.0
246,1163119,10.0,9.0,10.0,9.0,10.0,9.0,93.0
247,116931,9.0,8.0,10.0,9.0,10.0,9.0,88.0
248,11610598,10.0,10.0,10.0,10.0,10.0,10.0,98.0
249,11667313,,,,,,,
250,11695437,10.0,10.0,10.0,10.0,10.0,10.0,97.0
251,11568230,9.0,9.0,10.0,10.0,10.0,9.0,93.0
252,11602050,8.0,8.0,8.0,9.0,9.0,7.0,80.0
253,11603201,,,,,,,
254,11557363,9.0,9.0,10.0,9.0,9.0,9.0,90.0
255,1155885,10.0,10.0,10.0,10.0,9.0,10.0,93.0
256,11567997,10.0,10.0,10.0,10.0,10.0,10.0,96.0
257,11688660,10.0,10.0,10.0,10.0,10.0,10.0,100.0
258,11098708,10.0,9.0,10.0,10.0,10.0,9.0,97.0
259,11130156,,,,,,,
260,11305966,9.0,8.0,8.0,8.0,9.0,8.0,90.0
261,1148978,10.0,9.0,9.0,10.0,9.0,9.0,94.0
262,11719579,10.0,10.0,10.0,10.0,10.0,10.0,100.0
263,11716047,10.0,10.0,10.0,10.0,10.0,10.0,100.0
264,11740322,10.0,10.0,10.0,10.0,10.0,10.0,99.0
265,11764681,10.0,10.0,9.0,9.0,10.0,9.0,90.0
266,117425,9.0,9.0,9.0,9.0,10.0,9.0,90.0
267,11757719,,,,,,,
268,11708,9.0,9.0,10.0,10.0,9.0,9.0,87.0
269,11753116,9.0,9.0,10.0,9.0,9.0,9.0,90.0
270,11715762,,,,,,,
271,11727255,,,,,,,
272,11737940,,,,,,,
273,1176693,9.0,9.0,9.0,10.0,10.0,8.0,83.0
274,11871088,9.0,9.0,10.0,9.0,10.0,9.0,88.0
275,11933497,,,,,,,
276,11778959,10.0,10.0,10.0,10.0,10.0,10.0,100.0
277,11840338,10.0,10.0,10.0,10.0,10.0,10.0,100.0
278,11948705,,,,,,,
279,12008712,,,,,,,
280,11939367,10.0,10.0,10.0,10.0,10.0,10.0,98.0
281,12014026,,,,,,,
282,1185644,10.0,9.0,9.0,10.0,10.0,9.0,94.0
283,11834359,10.0,10.0,10.0,10.0,9.0,10.0,93.0
284,11835516,,,,,,,
285,11918738,10.0,9.0,10.0,10.0,10.0,10.0,98.0
286,11953606,10.0,10.0,10.0,10.0,9.0,9.0,98.0
287,11792238,10.0,6.0,10.0,10.0,10.0,10.0,80.0
288,11914814,10.0,10.0,10.0,10.0,10.0,9.0,100.0
289,11860047,10.0,10.0,10.0,10.0,10.0,10.0,100.0
290,11860692,10.0,10.0,10.0,10.0,10.0,10.0,99.0
291,11948645,10.0,10.0,10.0,10.0,10.0,9.0,97.0
292,11935301,10.0,10.0,10.0,10.0,10.0,10.0,100.0
293,11921637,10.0,10.0,10.0,10.0,9.0,9.0,92.0
294,1198074,10.0,10.0,10.0,10.0,10.0,10.0,98.0
295,12027124,10.0,10.0,10.0,10.0,10.0,10.0,98.0
296,11890476,10.0,10.0,10.0,10.0,10.0,10.0,100.0
297,11806776,,,,,,,
298,11778475,10.0,9.0,10.0,10.0,10.0,9.0,92.0
299,11902059,10.0,10.0,10.0,10.0,8.0,9.0,96.0
300,11945972,10.0,10.0,10.0,10.0,8.0,10.0,100.0
301,11963985,,,,,,,
302,12004365,10.0,10.0,10.0,10.0,10.0,9.0,100.0
303,11817249,10.0,10.0,10.0,10.0,10.0,10.0,99.0
304,1188839,9.0,9.0,9.0,9.0,9.0,8.0,88.0
305,11848397,,,,,,,
306,1182474,9.0,10.0,10.0,10.0,10.0,10.0,91.0
307,1182475,9.0,9.0,10.0,9.0,9.0,9.0,87.0
308,11846549,9.0,9.0,10.0,9.0,10.0,9.0,92.0
309,11936451,10.0,10.0,10.0,10.0,10.0,10.0,98.0
310,1195977,10.0,10.0,10.0,10.0,8.0,10.0,100.0
311,12010910,10.0,9.0,10.0,10.0,10.0,9.0,96.0
312,1201871,9.0,9.0,10.0,10.0,9.0,9.0,90.0
313,11863943,10.0,9.0,10.0,10.0,9.0,9.0,94.0
314,12046370,10.0,10.0,10.0,10.0,10.0,10.0,96.0
315,11796483,8.0,8.0,8.0,8.0,8.0,8.0,100.0
316,11894971,,,,,,,
317,11987001,10.0,10.0,10.0,10.0,10.0,9.0,100.0
318,11993586,10.0,9.0,10.0,10.0,10.0,9.0,94.0
319,12003707,,,,,,,
320,11779701,10.0,9.0,10.0,9.0,10.0,10.0,87.0
321,11816864,10.0,10.0,9.0,10.0,8.0,9.0,96.0
322,12007662,,,,,,,
323,11835169,10.0,9.0,10.0,10.0,10.0,10.0,100.0
324,11841749,10.0,10.0,10.0,10.0,8.0,10.0,100.0
325,1200438,9.0,8.0,9.0,9.0,9.0,9.0,89.0
326,1206363,10.0,10.0,10.0,10.0,9.0,10.0,99.0
327,1206820,10.0,9.0,10.0,10.0,10.0,10.0,96.0
328,12091977,9.0,9.0,10.0,10.0,10.0,9.0,89.0
329,12083780,10.0,10.0,10.0,10.0,10.0,9.0,97.0
330,12097507,9.0,9.0,10.0,10.0,10.0,9.0,94.0
331,1211274,10.0,10.0,10.0,10.0,10.0,10.0,96.0
332,12104860,,,,,,,
333,12080961,10.0,10.0,10.0,10.0,10.0,10.0,95.0
334,12098138,10.0,10.0,10.0,10.0,10.0,10.0,99.0
335,1209353,10.0,9.0,9.0,10.0,10.0,10.0,100.0
336,12068078,,,,,,,
337,12091894,9.0,9.0,9.0,10.0,10.0,9.0,96.0
338,12088301,10.0,10.0,10.0,10.0,10.0,10.0,100.0
339,12117514,9.0,10.0,10.0,10.0,10.0,9.0,96.0
340,12188649,,,,,,,
341,12112834,,,,,,,
342,12214471,9.0,9.0,9.0,9.0,10.0,9.0,88.0
343,12156307,10.0,10.0,10.0,10.0,9.0,10.0,95.0
344,12142163,,,,,,,
345,12181533,9.0,10.0,9.0,10.0,10.0,9.0,80.0
346,1229797,10.0,10.0,9.0,10.0,10.0,10.0,98.0
347,12430621,10.0,10.0,10.0,10.0,10.0,10.0,94.0
348,1255979,10.0,10.0,9.0,10.0,10.0,9.0,96.0
349,12561397,10.0,8.0,10.0,10.0,8.0,10.0,100.0
350,12639342,10.0,10.0,10.0,10.0,10.0,9.0,99.0
351,12120988,,,,,,,
352,12317903,10.0,10.0,10.0,10.0,10.0,10.0,98.0
353,12373208,10.0,10.0,10.0,10.0,9.0,9.0,95.0
354,12473031,,,,,,,
355,12607396,10.0,10.0,10.0,10.0,10.0,10.0,96.0
356,12654770,,,,,,,
357,12215468,,,,,,,
358,12247516,10.0,10.0,10.0,10.0,9.0,9.0,97.0
359,1229847,9.0,9.0,10.0,10.0,10.0,9.0,93.0
360,12486648,9.0,9.0,9.0,9.0,10.0,9.0,89.0
361,12591225,8.0,10.0,10.0,10.0,10.0,10.0,80.0
362,12628177,,,,,,,
363,12223067,10.0,10.0,10.0,10.0,10.0,10.0,98.0
364,12290090,10.0,10.0,10.0,10.0,10.0,8.0,100.0
365,12396367,10.0,9.0,9.0,10.0,10.0,9.0,97.0
366,12400621,10.0,10.0,10.0,10.0,10.0,9.0,94.0
367,12421800,,,,,,,
368,12601609,,,,,,,
369,12653230,10.0,10.0,10.0,10.0,10.0,10.0,95.0
370,12200176,10.0,10.0,10.0,10.0,9.0,10.0,98.0
371,12354373,6.0,10.0,8.0,8.0,10.0,10.0,80.0
372,12494415,,,,,,,
373,12479743,10.0,10.0,10.0,10.0,10.0,10.0,93.0
374,1266425,8.0,8.0,9.0,9.0,9.0,8.0,84.0
375,12189083,10.0,10.0,10.0,10.0,9.0,10.0,93.0
376,12247133,,,,,,,
377,12296622,10.0,10.0,10.0,10.0,10.0,10.0,98.0
378,12355178,10.0,9.0,10.0,9.0,9.0,8.0,100.0
379,12357386,10.0,6.0,10.0,10.0,10.0,10.0,100.0
380,12378302,10.0,9.0,10.0,10.0,9.0,9.0,95.0
381,12401124,10.0,10.0,10.0,10.0,10.0,9.0,92.0
382,12551469,10.0,10.0,9.0,10.0,10.0,10.0,94.0
383,12552675,9.0,9.0,9.0,9.0,10.0,9.0,90.0
384,12380012,,,,,,,
385,12448766,9.0,10.0,10.0,10.0,9.0,10.0,100.0
386,12489523,,,,,,,
387,12604062,10.0,10.0,10.0,10.0,10.0,8.0,100.0
388,12647072,,,,,,,
389,12655535,9.0,9.0,9.0,9.0,10.0,9.0,90.0
390,12135865,9.0,8.0,9.0,9.0,10.0,9.0,84.0
391,12137640,9.0,8.0,8.0,10.0,10.0,9.0,90.0
392,12220612,9.0,10.0,9.0,9.0,10.0,9.0,86.0
393,12253016,10.0,10.0,10.0,10.0,10.0,8.0,80.0
394,12509339,,,,,,,
395,12531055,10.0,10.0,10.0,10.0,10.0,10.0,100.0
396,12256344,10.0,10.0,10.0,10.0,10.0,10.0,99.0
397,1215226,8.0,9.0,9.0,9.0,9.0,8.0,86.0
398,12259367,9.0,9.0,9.0,10.0,10.0,9.0,95.0
399,12370710,10.0,10.0,10.0,10.0,10.0,10.0,98.0
400,12407601,10.0,10.0,10.0,10.0,10.0,10.0,100.0
401,12561925,,,,,,,
402,12586942,10.0,9.0,10.0,10.0,10.0,9.0,94.0
403,12139024,,,,,,,
404,12196285,,,,,,,
405,12136725,10.0,10.0,10.0,10.0,10.0,10.0,94.0
406,125656,10.0,10.0,10.0,10.0,10.0,10.0,100.0
407,12310597,10.0,9.0,10.0,10.0,9.0,10.0,95.0
408,12349607,,,,,,,
409,12403784,10.0,10.0,10.0,10.0,8.0,8.0,100.0
410,12409013,10.0,10.0,10.0,10.0,9.0,10.0,95.0
411,12514918,10.0,10.0,10.0,10.0,10.0,10.0,95.0
412,121861,10.0,10.0,10.0,10.0,10.0,10.0,99.0
413,12234922,10.0,10.0,10.0,10.0,10.0,10.0,100.0
414,12291906,,,,,,,
415,1264811,10.0,10.0,10.0,10.0,10.0,9.0,95.0
416,12657285,9.0,10.0,10.0,10.0,10.0,10.0,93.0
417,12288463,10.0,9.0,10.0,10.0,10.0,9.0,93.0
418,12211157,10.0,9.0,9.0,10.0,10.0,10.0,100.0
419,1223747,10.0,9.0,10.0,10.0,10.0,9.0,94.0
420,12270044,,,,,,,
421,1229106,9.0,9.0,9.0,10.0,9.0,9.0,85.0
422,12433727,,,,,,,
423,1211285,9.0,9.0,10.0,10.0,10.0,9.0,90.0
424,1215049,10.0,10.0,10.0,10.0,10.0,9.0,92.0
425,12157453,8.0,10.0,10.0,8.0,10.0,8.0,100.0
426,12183522,10.0,10.0,10.0,10.0,9.0,10.0,99.0
427,12188601,,,,,,,
428,12380299,,,,,,,
429,12462076,7.0,7.0,7.0,9.0,7.0,7.0,67.0
430,12507567,9.0,10.0,10.0,10.0,9.0,9.0,93.0
431,12651199,10.0,10.0,10.0,10.0,10.0,10.0,99.0
432,12216115,10.0,10.0,9.0,10.0,9.0,9.0,93.0
433,12222943,9.0,10.0,10.0,9.0,10.0,9.0,89.0
434,12253386,10.0,9.0,10.0,10.0,10.0,9.0,86.0
435,1227759,9.0,10.0,10.0,9.0,8.0,9.0,80.0
436,12452082,,,,,,,
437,12544539,,,,,,,
438,12550465,,,,,,,
439,12752708,10.0,10.0,9.0,9.0,9.0,10.0,94.0
440,1273526,8.0,7.0,9.0,9.0,8.0,8.0,70.0
441,12680743,10.0,10.0,10.0,10.0,9.0,10.0,98.0
442,12778795,,,,,,,
443,12874040,9.0,9.0,9.0,9.0,10.0,9.0,89.0
444,12873224,9.0,8.0,9.0,9.0,9.0,9.0,85.0
445,12761564,10.0,10.0,10.0,10.0,10.0,10.0,100.0
446,12740176,10.0,9.0,10.0,10.0,10.0,9.0,100.0
447,12791827,10.0,10.0,9.0,9.0,10.0,10.0,90.0
448,12857887,,,,,,,
449,12929092,10.0,10.0,10.0,10.0,10.0,10.0,98.0
450,13069562,,,,,,,
451,13079105,10.0,10.0,10.0,10.0,10.0,9.0,96.0
452,12788675,8.0,6.0,10.0,10.0,10.0,8.0,100.0
453,1284759,10.0,9.0,9.0,10.0,10.0,9.0,93.0
454,12933623,10.0,10.0,10.0,10.0,10.0,9.0,92.0
455,13043773,,,,,,,
456,13069840,10.0,10.0,10.0,10.0,10.0,10.0,99.0
457,1294944,,,,,,,
458,12954762,10.0,10.0,10.0,10.0,10.0,10.0,95.0
459,13183672,10.0,10.0,10.0,10.0,10.0,10.0,99.0
460,13223739,9.0,9.0,10.0,9.0,10.0,9.0,90.0
461,12758910,10.0,9.0,10.0,9.0,10.0,10.0,94.0
462,12782638,10.0,10.0,10.0,10.0,10.0,10.0,100.0
463,12800556,9.0,9.0,9.0,9.0,9.0,9.0,85.0
464,1284892,9.0,8.0,10.0,10.0,10.0,10.0,89.0
465,12896435,9.0,9.0,10.0,10.0,10.0,9.0,92.0
466,1290112,,,,,,,
467,12971533,10.0,10.0,10.0,10.0,10.0,10.0,98.0
468,13064336,10.0,10.0,10.0,10.0,10.0,10.0,100.0
469,1310308,9.0,9.0,9.0,9.0,10.0,9.0,89.0
470,12762350,10.0,10.0,10.0,10.0,10.0,9.0,100.0
471,12790958,9.0,9.0,10.0,10.0,10.0,9.0,98.0
472,12810796,9.0,8.0,9.0,9.0,9.0,9.0,85.0
473,12824656,,,,,,,
474,12886223,10.0,10.0,10.0,10.0,10.0,10.0,100.0
475,13001636,,,,,,,
476,1304552,10.0,9.0,10.0,10.0,10.0,9.0,91.0
477,13059740,10.0,10.0,10.0,10.0,10.0,9.0,95.0
478,13083186,,,,,,,
479,1310141,10.0,9.0,10.0,10.0,10.0,9.0,93.0
480,12887643,9.0,9.0,10.0,10.0,10.0,9.0,91.0
481,12906000,9.0,9.0,9.0,9.0,10.0,8.0,88.0
482,12906431,10.0,10.0,10.0,10.0,10.0,10.0,99.0
483,12923454,,,,,,,
